Cluster1,Cluster2,Cluster3
Albania,Afghanistan,Australia
Algeria,Angola,Austria
Antigua and Barbuda,Benin,Bahamas
Argentina,Burkina Faso,Belgium
Armenia,Burundi,Brunei
Azerbaijan,Cameroon,Canada
Bahrain,Central African Republic,Cyprus
Bangladesh,Chad,Czech Republic
Barbados,Comoros,Denmark
Belarus,Congo Dem Rep,Finland
Belize,Congo Rep,France
Bhutan,Cote d'Ivoire,Germany
Bolivia,Equatorial Guinea,Greece
Bosnia and Herzegovina,Eritrea,Iceland
Botswana,Gabon,Ireland
Brazil,Gambia,Israel
Bulgaria,Ghana,Italy
Cambodia,Guinea,Japan
Cape Verde,Guinea-Bissau,Kuwait
Chile,Haiti,Luxembourg
China,Iraq,Malta
Colombia,Kenya,Netherlands
Costa Rica,Kiribati,New Zealand
Croatia,Lao,Norway
Dominican Republic,Lesotho,Portugal
Ecuador,Liberia,Qatar
Egypt,Madagascar,Singapore
El Salvador,Malawi,Slovenia
Estonia,Mali,South Korea
Fiji,Mauritania,Spain
FYROM,Mozambique,Sweden
Georgia,Myanmar,Switzerland
Grenada,Namibia,United Arab Emirates
Guatemala,Niger,United Kingdom
Guyana,Nigeria,United States
Hungary,Pakistan,
India,Rwanda,
Indonesia,Senegal,
Iran,Sierra Leone,
Jamaica,South Africa,
Jordan,Sudan,
Kazakhstan,Tanzania,
Kyrgyz Republic,Timor-Leste,
Latvia,Togo,
Lebanon,Uganda,
Libya,Yemen,
Lithuania,Zambia,
Malaysia,,
Maldives,,
Mauritius,,
Micronesia Fed Sts,,
Moldova,,
Mongolia,,
Montenegro,,
Morocco,,
Nepal,,
Oman,,
Panama,,
Paraguay,,
Peru,,
Philippines,,
Poland,,
Romania,,
Russia,,
Samoa,,
Saudi Arabia,,
Serbia,,
Seychelles,,
Slovak Republic,,
Solomon Islands,,
Sri Lanka,,
St. Vincent and the Grenadines,,
Suriname,,
Tajikistan,,
Thailand,,
Tonga,,
Tunisia,,
Turkey,,
Turkmenistan,,
Ukraine,,
Uruguay,,
Uzbekistan,,
Vanuatu,,
Venezuela,,
Vietnam,,
